latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.110721,80.2459,12.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-12-06,26.8,24.5,21.50,21.50,63
2020-12-07,26.4,24.4,29.70,29.70,63
2020-12-08,28.6,24.5,13.60,13.60,63
2020-12-09,28.4,24.0,5.90,5.90,61
2020-12-10,28.0,22.6,0.00,0.00,3
2020-12-11,28.0,21.8,0.10,0.10,51
2020-12-12,27.9,22.1,0.00,0.00,3
2020-12-13,27.7,21.2,0.00,0.00,3
2020-12-14,27.9,22.8,0.00,0.00,3
2020-12-15,28.0,23.0,1.20,1.20,51
2020-12-16,28.2,24.5,4.40,4.40,61
2020-12-17,28.0,25.2,1.10,1.10,51
2020-12-18,28.1,24.5,1.00,1.00,51
2020-12-19,28.1,24.8,0.20,0.20,51
2020-12-20,27.6,24.6,0.00,0.00,3
2020-12-21,27.0,23.7,0.00,0.00,3
2020-12-22,26.9,22.2,0.00,0.00,3
2020-12-23,26.9,22.3,0.00,0.00,3
2020-12-24,27.2,20.2,0.00,0.00,3
2020-12-25,27.3,22.7,0.00,0.00,3
2020-12-26,27.5,22.3,0.00,0.00,3
2020-12-27,28.1,23.2,0.00,0.00,3
2020-12-28,27.7,22.6,0.00,0.00,3
2020-12-29,28.2,24.0,0.30,0.30,51
2020-12-30,26.4,24.1,43.30,43.30,65
2020-12-31,27.8,24.9,0.90,0.90,51
2021-01-01,27.0,24.1,0.10,0.10,51
2021-01-02,25.5,23.9,15.70,15.70,63
2021-01-03,27.0,23.7,3.50,3.50,53
2021-01-04,26.7,23.7,4.50,4.50,53
2021-01-05,26.0,23.8,17.60,17.60,63
2021-01-06,26.9,23.4,16.10,16.10,63
2021-01-07,27.2,23.5,3.40,3.40,53
2021-01-08,27.9,23.8,4.20,4.20,55
2021-01-09,28.0,23.6,2.00,2.00,51
2021-01-10,28.0,24.0,0.90,0.90,51
2021-01-11,28.1,24.1,3.00,3.00,53
2021-01-12,28.1,24.4,0.90,0.90,51
2021-01-13,27.9,23.9,0.70,0.70,51
2021-01-14,27.2,23.8,1.60,1.60,51
2021-01-15,28.1,23.0,0.00,0.00,3
2021-01-16,27.7,21.8,0.00,0.00,3
2021-01-17,27.3,20.5,0.00,0.00,3
2021-01-18,27.8,23.0,0.00,0.00,3
2021-01-19,28.0,22.5,0.00,0.00,3
2021-01-20,27.9,22.5,0.00,0.00,3
2021-01-21,28.3,23.1,0.20,0.20,51
2021-01-22,28.5,22.9,1.10,1.10,51
2021-01-23,28.2,22.4,0.40,0.40,51
2021-01-24,28.1,21.7,0.30,0.30,51
2021-01-25,28.1,21.9,0.80,0.80,51
2021-01-26,27.9,20.1,0.00,0.00,3
2021-01-27,27.6,21.1,0.00,0.00,3
2021-01-28,28.2,22.6,0.80,0.80,51
2021-01-29,28.5,24.0,0.70,0.70,53
2021-01-30,28.4,23.6,0.00,0.00,1
2021-01-31,28.6,23.2,0.00,0.00,1
2021-02-01,28.6,23.3,0.00,0.00,1
2021-02-02,28.2,22.3,0.50,0.50,51
2021-02-03,27.9,22.9,0.00,0.00,2
2021-02-04,28.2,21.3,0.00,0.00,3
2021-02-05,27.9,21.0,0.00,0.00,3
2021-02-06,28.0,20.5,0.00,0.00,2
2021-02-07,28.7,19.6,0.00,0.00,3
2021-02-08,28.3,20.4,0.00,0.00,2
2021-02-09,28.4,23.7,0.00,0.00,3
2021-02-10,28.0,19.6,0.00,0.00,3
2021-02-11,28.2,20.1,0.00,0.00,3
2021-02-12,28.2,20.7,0.00,0.00,3
2021-02-13,28.6,21.1,0.00,0.00,2
2021-02-14,28.4,20.6,0.00,0.00,3
2021-02-15,28.6,19.9,0.00,0.00,3
2021-02-16,28.9,20.5,0.00,0.00,2
2021-02-17,28.4,21.3,0.00,0.00,2
2021-02-18,28.7,24.1,0.00,0.00,1
2021-02-19,28.0,23.0,4.80,4.80,55
2021-02-20,27.1,22.4,4.60,4.60,55
2021-02-21,26.5,22.1,11.30,11.30,61
2021-02-22,28.5,23.4,0.60,0.60,51
2021-02-23,28.9,22.0,0.00,0.00,3
2021-02-24,29.0,20.8,0.00,0.00,2
2021-02-25,28.9,20.7,0.00,0.00,3
2021-02-26,30.3,21.0,0.00,0.00,3
2021-02-27,30.5,21.6,0.00,0.00,3
2021-02-28,29.5,20.7,0.00,0.00,3
2021-03-01,30.4,21.3,0.00,0.00,3
