latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.970123,77.56364,910.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2021-03-15,31.9,17.1,0.00,0.00,2
2021-03-16,32.9,18.3,0.00,0.00,3
2021-03-17,32.5,17.3,0.00,0.00,3
2021-03-18,32.6,18.4,0.00,0.00,3
2021-03-19,32.9,18.2,0.00,0.00,3
2021-03-20,32.3,17.1,0.00,0.00,3
2021-03-21,33.1,18.8,0.00,0.00,0
2021-03-22,33.7,18.1,0.00,0.00,1
2021-03-23,33.8,18.5,0.00,0.00,0
2021-03-24,33.9,19.0,0.00,0.00,2
2021-03-25,34.2,19.7,0.00,0.00,3
2021-03-26,34.3,19.8,0.00,0.00,3
2021-03-27,34.3,19.5,0.00,0.00,3
2021-03-28,34.8,20.2,0.00,0.00,3
2021-03-29,34.4,20.3,0.00,0.00,3
2021-03-30,34.9,20.5,0.00,0.00,3
2021-03-31,35.4,22.1,0.00,0.00,3
2021-04-01,35.5,21.7,0.00,0.00,1
2021-04-02,35.2,20.0,0.00,0.00,3
2021-04-03,34.1,20.9,0.00,0.00,3
2021-04-04,33.7,21.4,0.00,0.00,2
2021-04-05,33.6,21.9,0.00,0.00,2
2021-04-06,34.9,20.4,0.00,0.00,3
2021-04-07,34.7,19.1,0.00,0.00,3
2021-04-08,34.8,20.4,0.00,0.00,3
2021-04-09,34.3,20.0,0.00,0.00,3
2021-04-10,33.8,19.6,0.00,0.00,2
2021-04-11,33.8,19.8,0.00,0.00,2
2021-04-12,33.7,21.0,0.00,0.00,3
2021-04-13,33.1,21.2,0.00,0.00,3
2021-04-14,30.1,21.5,4.60,4.60,63
2021-04-15,28.7,20.0,22.60,22.60,65
2021-04-16,30.0,19.1,0.90,0.90,51
2021-04-17,32.4,20.2,0.00,0.00,3
2021-04-18,33.1,21.2,0.20,0.20,51
2021-04-19,33.4,20.6,0.00,0.00,3
2021-04-20,31.0,21.7,7.90,7.90,63
2021-04-21,30.9,20.7,8.80,8.80,63
2021-04-22,32.2,20.5,1.10,1.10,53
2021-04-23,31.0,21.1,12.20,12.20,63
2021-04-24,30.1,20.4,17.60,17.60,63
2021-04-25,32.0,20.7,0.10,0.10,51
2021-04-26,32.7,21.0,0.00,0.00,3
2021-04-27,32.9,20.1,0.00,0.00,3
2021-04-28,32.7,20.3,0.00,0.00,3
2021-04-29,32.0,22.1,0.50,0.50,51
2021-04-30,33.0,21.3,0.00,0.00,3
2021-05-01,32.9,21.2,0.00,0.00,3
2021-05-02,32.7,21.3,0.00,0.00,3
2021-05-03,32.1,21.8,0.80,0.80,51
2021-05-04,30.2,21.4,3.30,3.30,61
2021-05-05,33.8,20.2,0.00,0.00,3
2021-05-06,33.1,21.8,0.00,0.00,3
2021-05-07,31.4,21.9,0.70,0.70,51
2021-05-08,33.3,21.3,0.90,0.90,53
2021-05-09,33.5,21.4,0.10,0.10,51
2021-05-10,32.2,22.2,4.90,4.90,61
2021-05-11,31.6,22.0,14.20,14.20,63
2021-05-12,30.9,21.4,10.00,10.00,63
2021-05-13,31.1,21.0,2.10,2.10,53
2021-05-14,31.6,20.8,2.30,2.30,61
2021-05-15,26.4,21.0,3.90,3.90,61
2021-05-16,25.8,20.7,8.20,8.20,61
2021-05-17,30.2,20.0,4.70,4.70,61
2021-05-18,30.5,20.3,0.10,0.10,51
2021-05-19,30.7,20.2,4.50,4.50,61
2021-05-20,29.3,21.1,22.00,22.00,65
2021-05-21,28.9,20.9,13.90,13.90,63
2021-05-22,27.8,20.2,2.40,2.40,61
2021-05-23,29.3,20.8,0.10,0.10,51
2021-05-24,30.3,20.3,0.00,0.00,3
2021-05-25,29.3,20.7,8.60,8.60,63
2021-05-26,28.6,20.3,0.10,0.10,51
2021-05-27,29.8,19.6,0.00,0.00,2
2021-05-28,30.6,18.3,0.00,0.00,3
2021-05-29,29.7,19.7,0.50,0.50,51
2021-05-30,31.0,20.0,0.20,0.20,51
2021-05-31,31.6,20.2,0.50,0.50,51
2021-06-01,31.5,20.6,4.80,4.80,61
2021-06-02,30.8,21.2,18.00,18.00,63
2021-06-03,29.3,21.0,20.10,20.10,63
2021-06-04,26.3,20.9,18.30,18.30,61
2021-06-05,26.9,20.7,7.30,7.30,63
2021-06-06,27.0,20.0,2.30,2.30,61
2021-06-07,28.9,19.8,0.00,0.00,3
2021-06-08,29.5,19.9,0.00,0.00,3
2021-06-09,28.3,19.1,1.70,1.70,55
2021-06-10,28.1,19.3,0.70,0.70,51
2021-06-11,28.4,19.6,0.00,0.00,3
2021-06-12,27.9,20.3,3.20,3.20,53
2021-06-13,26.0,20.1,2.00,2.00,53
2021-06-14,24.1,20.0,4.70,4.70,53
2021-06-15,26.2,19.8,2.90,2.90,53
2021-06-16,26.9,20.2,3.20,3.20,61
2021-06-17,27.8,20.2,0.80,0.80,51
